run_date,generated_at,raw_dart_rows,parsed_dart_rows,selected_event_rows,scored_event_rows,news_feature_rows,error_note_rows,ml_dataset_rows,pending_rows,success_rows,failure_rows,trainable_rows,baseline_model_report_exists,automation_status_report_exists,raw_dart_file,ml_dataset_file
2026-06-19,2026-06-19 17:05:19,100,100,18,18,18,19,21,21,0,0,0,True,True,data/raw/dart_disclosures_20260619.csv,data/processed/ml_dataset_20260619.csv
2026-06-24,2026-06-24 22:40:49,100,100,11,11,11,11,11,11,0,0,0,True,True,data/raw/dart_disclosures_20260624.csv,data/processed/ml_dataset_20260624.csv
2026-06-26,2026-06-26 09:55:45,100,100,20,20,20,34,92,92,0,0,0,True,True,data/raw/dart_disclosures_20260626.csv,data/processed/ml_dataset_20260626.csv
2026-06-27,2026-06-27 13:00:31,0,0,0,0,0,0,0,0,0,0,0,False,True,,
2026-06-29,2026-06-29 14:39:38,100,100,19,19,19,43,109,109,0,0,0,True,True,data/raw/dart_disclosures_20260629.csv,data/processed/ml_dataset_20260629.csv
2026-06-30,2026-06-30 00:35:07,100,100,2,2,2,3,5,5,0,0,0,True,True,data/raw/dart_disclosures_20260630.csv,data/processed/ml_dataset_20260630.csv
2026-07-01,2026-07-01 01:01:09,100,100,3,3,3,4,6,6,0,0,0,True,True,data/raw/dart_disclosures_20260701.csv,data/processed/ml_dataset_20260701.csv
2026-07-02,2026-07-02 00:00:04,100,100,15,15,15,36,106,106,0,0,0,False,True,data/raw/dart_disclosures_20260701.csv,data/processed/ml_dataset_20260701.csv
2026-07-03,2026-07-03 01:42:26,100,100,2,2,2,5,5,5,0,0,0,True,True,data/raw/dart_disclosures_20260703.csv,data/processed/ml_dataset_20260703.csv
2026-07-06,2026-07-06 23:35:35,100,100,23,23,23,31,87,87,0,0,0,True,True,data/raw/dart_disclosures_20260706.csv,data/processed/ml_dataset_20260706.csv
2026-07-07,2026-07-07 23:19:50,100,100,18,18,18,36,148,148,0,0,0,True,True,data/raw/dart_disclosures_20260707.csv,data/processed/ml_dataset_20260707.csv
2026-07-09,2026-07-09 23:41:01,100,100,24,24,24,50,162,162,0,0,0,True,True,data/raw/dart_disclosures_20260709.csv,data/processed/ml_dataset_20260709.csv
2026-07-13,2026-07-13 23:17:29,100,100,19,19,19,50,752,752,0,0,0,True,True,data/raw/dart_disclosures_20260713.csv,data/processed/ml_dataset_20260713.csv
2026-07-15,2026-07-15 23:15:46,100,100,24,24,24,69,87,87,0,0,0,True,True,data/raw/dart_disclosures_20260715.csv,data/processed/ml_dataset_20260715.csv
2026-07-16,2026-07-16 23:14:08,100,100,12,12,12,18,18,18,0,0,0,True,True,data/raw/dart_disclosures_20260716.csv,data/processed/ml_dataset_20260716.csv
